#HD142703                                                    
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00    7.801  2.74
   2952.74    7.777  2.74
   2955.48    7.749  2.74
   2958.22    7.731  2.74
   2960.96    7.734  2.74
   2963.70    7.776  2.74
   2966.44    7.818  2.74
   2969.18    7.809  2.74
   2971.92    7.790  2.74
   2974.66    7.726  2.74
   2977.40    7.717  2.74
   2980.14    7.754  2.74
   2982.88    7.776  2.74
   2985.62    7.825  2.74
   2988.36    7.728  2.74
   2991.10    7.683  2.74
   2993.84    7.701  2.74
   2996.58    7.714  2.74
   2999.32    7.747  2.74
   3002.06    7.774  2.74
   3004.80    7.742  2.74
   3007.54    7.719  2.74
   3010.28    7.702  2.74
   3013.02    7.688  2.74
   3015.76    7.715  2.74
   3018.50    7.739  2.74
   3021.24    7.726  2.74
   3023.98    7.702  2.74
   3026.72    7.681  2.74
   3029.46    7.680  2.74
   3032.20    7.671  2.74
   3034.94    7.666  2.74
   3037.68    7.674  2.74
   3040.42    7.671  2.74
   3043.16    7.662  2.74
   3045.90    7.666  2.74
   3048.64    7.674  2.74
   3051.38    7.665  2.74
   3054.12    7.670  2.74
   3056.86    7.710  2.74
   3059.60    7.703  2.74
   3062.34    7.667  2.74
   3065.08    7.683  2.74
   3067.82    7.679  2.74
   3070.56    7.667  2.74
   3073.30    7.689  2.74
   3076.04    7.686  2.74
   3078.78    7.660  2.74
   3081.52    7.642  2.74
   3084.26    7.627  2.74
   3087.00    7.644  2.74
   3089.74    7.665  2.74
   3092.48    7.669  2.74
   3095.22    7.661  2.74
   3097.96    7.667  2.74
   3100.70    7.684  2.74
   3103.44    7.664  2.74
   3106.18    7.624  2.74
   3108.92    7.595  2.74
   3111.66    7.603  2.74
   3114.40    7.608  2.74
   3117.14    7.625  2.74
   3119.88    7.659  2.74
   3122.62    7.644  2.74
   3125.36    7.630  2.74
   3128.10    7.626  2.74
   3130.84    7.630  2.74
   3133.58    7.632  2.74
   3136.32    7.605  2.74
   3139.06    7.593  2.74
   3141.80    7.596  2.74
   3144.54    7.598  2.74
   3147.28    7.601  2.74
   3150.02    7.585  2.74
   3152.76    7.585  2.74
   3155.50    7.606  2.74
   3158.24    7.629  2.74
   3160.98    7.653  2.74
   3163.72    7.625  2.74
   3166.46    7.590  2.74
   3169.20    7.578  2.74
   3171.94    7.553  2.74
   3174.68    7.546  2.74
   3177.42    7.581  2.74
   3180.16    7.628  2.74
   3182.90    7.621  2.74
   3185.64    7.591  2.74
   3188.38    7.586  2.74
   3191.12    7.601  2.74
   3193.86    7.614  2.74
   3196.60    7.595  2.74
   3199.34    7.558  2.74
   3202.08    7.536  2.74
   3204.82    7.530  2.74
   3207.56    7.546  2.74
   3210.30    7.580  2.74
   3213.04    7.594  2.74
   3215.78    7.597  2.74
   3218.52    7.582  2.74
   3221.26    7.559  2.74
   3224.00    7.556  2.74
   3226.74    7.584  2.74
   3229.48    7.605  2.74
   3232.22    7.592  2.74
   3234.96    7.592  2.74
   3237.70    7.592  2.74
   3240.44    7.569  2.74
   3243.18    7.538  2.74
   3245.92    7.517  2.74
   3248.66    7.529  2.74
   3251.40    7.554  2.74
   3254.14    7.547  2.74
   3256.88    7.516  2.74
   3259.62    7.500  2.74
   3262.36    7.491  2.74
   3265.10    7.484  2.74
   3267.84    7.482  2.74
   3270.58    7.493  2.74
   3273.32    7.501  2.74
   3276.06    7.508  2.74
   3278.80    7.513  2.74
   3281.54    7.493  2.74
   3284.28    7.480  2.74
   3287.02    7.477  2.74
   3289.76    7.473  2.74
   3292.50    7.461  2.74
   3295.24    7.454  2.74
   3297.98    7.447  2.74
   3300.72    7.442  2.74
   3303.46    7.454  2.74
   3306.20    7.459  2.74
   3308.94    7.460  2.74
   3311.68    7.449  2.74
   3314.42    7.446  2.74
   3317.16    7.458  2.74
   3319.90    7.469  2.74
   3322.64    7.476  2.74
   3325.38    7.485  2.74
   3328.12    7.472  2.74
   3330.86    7.454  2.74
   3333.60    7.453  2.74
   3336.34    7.467  2.74
   3339.08    7.482  2.74
   3341.82    7.489  2.74
   3344.56    7.463  2.74
   3347.30    7.477  2.74
   3350.04    7.498  2.74
   3352.78    7.453  2.74
   3355.52    7.420  2.74
   3358.26    7.430  2.74
   3361.00    7.465  2.74
   3363.74    7.443  2.74
   3366.48    7.432  2.74
   3369.22    7.450  2.74
   3371.96    7.465  2.74
   3374.70    7.448  2.74
   3377.44    7.423  2.74
   3380.18    7.456  2.74
   3382.92    7.458  2.74
   3385.66    7.428  2.74
   3388.40    7.422  2.74
   3391.14    7.442  2.74
   3393.88    7.444  2.74
   3396.62    7.411  2.74
   3399.36    7.379  2.74
   3402.10    7.389  2.74
   3404.84    7.402  2.74
   3407.58    7.400  2.74
   3410.32    7.403  2.74
   3413.06    7.399  2.74
   3415.80    7.389  2.74
   3418.54    7.385  2.74
   3421.28    7.395  2.74
   3424.02    7.393  2.74
   3426.76    7.377  2.74
   3429.50    7.365  2.74
   3432.24    7.360  2.74
   3434.98    7.368  2.74
   3437.72    7.380  2.74
   3440.46    7.409  2.74
   3443.20    7.428  2.74
   3445.94    7.403  2.74
   3448.68    7.365  2.74
