#HD019445                                                    
#                                                            
#  HEAP-Lindler STIS                                         
# wavelength  ABmag  band
   3566.50    9.101  2.74
   3569.24    9.129  2.74
   3571.98    9.145  2.74
   3574.72    9.127  2.74
   3577.46    9.103  2.74
   3580.20    9.105  2.74
   3582.94    9.118  2.74
   3585.68    9.143  2.74
   3588.42    9.146  2.74
   3591.16    9.096  2.74
   3593.90    9.066  2.74
   3596.64    9.061  2.74
   3599.38    9.038  2.74
   3602.12    9.036  2.74
   3604.86    9.060  2.74
   3607.60    9.071  2.74
   3610.34    9.071  2.74
   3613.08    9.069  2.74
   3615.82    9.056  2.74
   3618.56    9.058  2.74
   3621.30    9.068  2.74
   3624.04    9.050  2.74
   3626.78    9.020  2.74
   3629.52    9.016  2.74
   3632.26    9.051  2.74
   3635.00    9.055  2.74
   3637.74    9.025  2.74
   3640.48    9.012  2.74
   3643.22    9.020  2.74
   3645.96    9.033  2.74
   3648.70    9.041  2.74
   3651.44    9.029  2.74
   3654.18    8.994  2.74
   3656.92    8.978  2.74
   3659.66    8.980  2.74
   3662.40    8.981  2.74
   3665.14    8.977  2.74
   3667.88    8.963  2.74
   3670.62    8.967  2.74
   3673.36    8.975  2.74
   3676.10    8.970  2.74
   3678.84    8.981  2.74
   3681.58    8.996  2.74
   3684.32    9.006  2.74
   3687.06    9.015  2.74
   3689.80    8.999  2.74
   3692.54    8.966  2.74
   3695.28    8.954  2.74
   3698.02    8.952  2.74
   3700.76    8.952  2.74
   3703.50    8.958  2.74
   3706.24    9.003  2.74
   3708.98    9.008  2.74
   3711.72    8.992  2.74
   3714.46    8.961  2.74
   3717.20    8.910  2.74
   3719.94    8.950  2.74
   3722.68    9.029  2.74
   3725.42    8.987  2.74
   3728.16    8.904  2.74
   3730.90    8.902  2.74
   3733.64    8.992  2.74
   3736.38    9.087  2.74
   3739.12    8.997  2.74
   3741.86    8.872  2.74
   3744.60    8.879  2.74
   3747.34    8.960  2.74
   3750.08    9.058  2.74
   3752.82    9.032  2.74
   3755.56    8.884  2.74
   3758.30    8.833  2.74
   3761.04    8.837  2.74
   3763.78    8.818  2.74
   3766.52    8.841  2.74
   3769.26    8.932  2.74
   3772.00    8.995  2.74
   3774.74    8.916  2.74
   3777.48    8.793  2.74
   3780.22    8.729  2.74
   3782.96    8.702  2.74
   3785.70    8.704  2.74
   3788.44    8.725  2.74
   3791.18    8.749  2.74
   3793.92    8.796  2.74
   3796.66    8.922  2.74
   3799.40    9.023  2.74
   3802.14    8.915  2.74
   3804.88    8.769  2.74
   3807.62    8.724  2.74
   3810.36    8.697  2.74
   3813.10    8.684  2.74
   3815.84    8.706  2.74
   3818.58    8.704  2.74
   3821.32    8.703  2.74
   3824.06    8.732  2.74
   3826.80    8.771  2.74
   3829.54    8.811  2.74
   3832.28    8.900  2.74
   3835.02    9.046  2.74
   3837.76    9.084  2.74
   3840.50    8.936  2.74
   3843.24    8.782  2.74
   3845.98    8.690  2.74
   3848.72    8.664  2.74
   3851.46    8.655  2.74
   3854.20    8.637  2.74
   3856.94    8.638  2.74
   3859.68    8.661  2.74
   3862.42    8.651  2.74
   3865.16    8.619  2.74
   3867.90    8.617  2.74
   3870.64    8.627  2.74
   3873.38    8.655  2.74
   3876.12    8.669  2.74
   3878.86    8.683  2.74
   3881.60    8.692  2.74
   3884.34    8.718  2.74
   3887.08    8.860  2.74
   3889.82    8.993  2.74
   3892.56    8.915  2.74
   3895.30    8.775  2.74
   3898.04    8.716  2.74
   3900.78    8.685  2.74
   3903.52    8.668  2.74
   3906.26    8.660  2.74
   3909.00    8.629  2.74
   3911.74    8.598  2.74
   3914.48    8.595  2.74
   3917.22    8.600  2.74
   3919.96    8.608  2.74
   3922.70    8.621  2.74
   3925.44    8.623  2.74
   3928.18    8.683  2.74
   3930.92    8.890  2.74
   3933.66    9.226  2.74
   3936.40    9.230  2.74
   3939.14    8.829  2.74
   3941.88    8.655  2.74
   3944.62    8.609  2.74
   3947.36    8.591  2.74
   3950.10    8.583  2.74
   3952.84    8.590  2.74
   3955.58    8.595  2.74
   3958.32    8.605  2.74
   3961.06    8.634  2.74
   3963.80    8.717  2.74
   3966.54    8.929  2.74
   3969.28    9.273  2.74
   3972.02    9.179  2.74
   3974.76    8.827  2.74
   3977.50    8.662  2.74
   3980.24    8.587  2.74
   3982.98    8.562  2.74
   3985.72    8.551  2.74
   3988.46    8.533  2.74
   3991.20    8.511  2.74
   3993.94    8.516  2.74
   3996.68    8.522  2.74
   3999.42    8.523  2.74
   4002.16    8.511  2.74
   4004.90    8.512  2.74
   4007.64    8.508  2.74
   4010.38    8.502  2.74
   4013.12    8.502  2.74
   4015.86    8.491  2.74
   4018.60    8.485  2.74
   4021.34    8.481  2.74
   4024.08    8.483  2.74
   4026.82    8.479  2.74
   4029.56    8.480  2.74
   4032.30    8.500  2.74
   4035.04    8.493  2.74
   4037.78    8.479  2.74
   4040.52    8.470  2.74
   4043.26    8.479  2.74
   4046.00    8.492  2.74
   4048.74    8.488  2.74
   4051.48    8.463  2.74
   4054.22    8.461  2.74
   4056.96    8.473  2.74
   4059.70    8.474  2.74
   4062.44    8.475  2.74
   4065.18    8.492  2.74
   4067.92    8.478  2.74
   4070.66    8.470  2.74
   4073.40    8.483  2.74
   4076.14    8.483  2.74
