#HD118055                                                    
#                                                            
#  Heap-Lindler STIS                                         
# wavelength  ABmag  band
   2950.00   14.795  2.74
   2952.74   14.745  2.74
   2955.48   14.641  2.74
   2958.22   14.555  2.74
   2960.96   14.588  2.74
   2963.70   14.639  2.74
   2966.44   14.904  2.74
   2969.18   14.883  2.74
   2971.92   14.710  2.74
   2974.66   14.521  2.74
   2977.40   14.374  2.74
   2980.14   14.579  2.74
   2982.88   14.785  2.74
   2985.62   14.780  2.74
   2988.36   14.472  2.74
   2991.10   14.320  2.74
   2993.84   14.457  2.74
   2996.58   14.390  2.74
   2999.32   14.448  2.74
   3002.06   14.492  2.74
   3004.80   14.416  2.74
   3007.54   14.293  2.74
   3010.28   14.175  2.74
   3013.02   14.303  2.74
   3015.76   14.419  2.74
   3018.50   14.624  2.74
   3021.24   14.949  2.74
   3023.98   14.403  2.74
   3026.72   14.319  2.74
   3029.46   14.188  2.74
   3032.20   14.170  2.74
   3034.94   14.126  2.74
   3037.68   14.275  2.74
   3040.42   14.333  2.74
   3043.16   14.321  2.74
   3045.90   14.150  2.74
   3048.64   14.173  2.74
   3051.38   14.056  2.74
   3054.12   14.143  2.74
   3056.86   14.277  2.74
   3059.60   14.331  2.74
   3062.34   14.298  2.74
   3065.08   14.488  2.74
   3067.82   14.424  2.74
   3070.56   14.433  2.74
   3073.30   14.060  2.74
   3076.04   14.123  2.74
   3078.78   14.054  2.74
   3081.52   13.939  2.74
   3084.26   14.137  2.74
   3087.00   14.095  2.74
   3089.74   14.318  2.74
   3092.48   14.427  2.74
   3095.22   14.190  2.74
   3097.96   14.278  2.74
   3100.70   14.618  2.74
   3103.44   14.210  2.74
   3106.18   14.053  2.74
   3108.92   13.929  2.74
   3111.66   13.772  2.74
   3114.40   13.875  2.74
   3117.14   13.960  2.74
   3119.88   14.023  2.74
   3122.62   13.990  2.74
   3125.36   14.167  2.74
   3128.10   14.223  2.74
   3130.84   14.009  2.74
   3133.58   13.923  2.74
   3136.32   13.942  2.74
   3139.06   13.795  2.74
   3141.80   13.748  2.74
   3144.54   13.752  2.74
   3147.28   13.869  2.74
   3150.02   13.648  2.74
   3152.76   13.837  2.74
   3155.50   13.877  2.74
   3158.24   14.007  2.74
   3160.98   13.911  2.74
   3163.72   13.927  2.74
   3166.46   13.813  2.74
   3169.20   13.745  2.74
   3171.94   13.568  2.74
   3174.68   13.482  2.74
   3177.42   13.472  2.74
   3180.16   13.653  2.74
   3182.90   13.780  2.74
   3185.64   13.719  2.74
   3188.38   13.669  2.74
   3191.12   13.735  2.74
   3193.86   13.675  2.74
   3196.60   13.649  2.74
   3199.34   13.634  2.74
   3202.08   13.369  2.74
   3204.82   13.359  2.74
   3207.56   13.415  2.74
   3210.30   13.580  2.74
   3213.04   13.612  2.74
   3215.78   13.681  2.74
   3218.52   13.539  2.74
   3221.26   13.433  2.74
   3224.00   13.532  2.74
   3226.74   13.500  2.74
   3229.48   13.641  2.74
   3232.22   13.565  2.74
   3234.96   13.673  2.74
   3237.70   13.532  2.74
   3240.44   13.503  2.74
   3243.18   13.381  2.74
   3245.92   13.170  2.74
   3248.66   13.226  2.74
   3251.40   13.357  2.74
   3254.14   13.232  2.74
   3256.88   13.076  2.74
   3259.62   12.960  2.74
   3262.36   13.047  2.74
   3265.10   13.106  2.74
   3267.84   13.050  2.74
   3270.58   13.026  2.74
   3273.32   13.091  2.74
   3276.06   13.010  2.74
   3278.80   13.068  2.74
   3281.54   13.114  2.74
   3284.28   13.061  2.74
   3287.02   13.061  2.74
   3289.76   13.003  2.74
   3292.50   12.831  2.74
   3295.24   12.798  2.74
   3297.98   12.821  2.74
   3300.72   12.867  2.74
   3303.46   12.852  2.74
   3306.20   12.945  2.74
   3308.94   12.985  2.74
   3311.68   12.997  2.74
   3314.42   13.044  2.74
   3317.16   12.933  2.74
   3319.90   12.941  2.74
   3322.64   12.933  2.74
   3325.38   12.927  2.74
   3328.12   12.977  2.74
   3330.86   12.972  2.74
   3333.60   12.941  2.74
   3336.34   13.091  2.74
   3339.08   13.010  2.74
   3341.82   13.038  2.74
   3344.56   12.972  2.74
   3347.30   12.955  2.74
   3350.04   13.037  2.74
   3352.78   12.901  2.74
   3355.52   12.808  2.74
   3358.26   13.023  2.74
   3361.00   13.460  2.74
   3363.74   13.157  2.74
   3366.48   13.080  2.74
   3369.22   13.140  2.74
   3371.96   13.378  2.74
   3374.70   13.081  2.74
   3377.44   12.925  2.74
   3380.18   12.966  2.74
   3382.92   12.982  2.74
   3385.66   12.995  2.74
   3388.40   13.010  2.74
   3391.14   12.954  2.74
   3393.88   12.911  2.74
   3396.62   12.758  2.74
   3399.36   12.609  2.74
   3402.10   12.577  2.74
   3404.84   12.634  2.74
   3407.58   12.719  2.74
   3410.32   12.716  2.74
   3413.06   12.718  2.74
   3415.80   12.711  2.74
   3418.54   12.589  2.74
   3421.28   12.514  2.74
   3424.02   12.536  2.74
   3426.76   12.500  2.74
   3429.50   12.470  2.74
   3432.24   12.457  2.74
   3434.98   12.506  2.74
   3437.72   12.503  2.74
   3440.46   12.637  2.74
   3443.20   12.722  2.74
   3445.94   12.636  2.74
   3448.68   12.442  2.74
   3451.42   12.379  2.74
   3454.16   12.390  2.74
   3456.90   12.384  2.74
   3459.64   12.439  2.74
   3462.38   12.440  2.74
   3465.12   12.355  2.74
   3467.86   12.365  2.74
   3470.60   12.305  2.74
   3473.34   12.361  2.74
   3476.08   12.490  2.74
   3478.82   12.442  2.74
   3481.56   12.306  2.74
   3484.30   12.319  2.74
   3487.04   12.215  2.74
   3489.78   12.295  2.74
   3492.52   12.306  2.74
   3495.26   12.310  2.74
   3498.00   12.395  2.74
   3500.74   12.218  2.74
   3503.48   12.126  2.74
   3506.22   12.134  2.74
   3508.96   12.183  2.74
   3511.70   12.220  2.74
   3514.44   12.252  2.74
   3517.18   12.150  2.74
   3519.92   12.153  2.74
   3522.66   12.288  2.74
   3525.40   12.386  2.74
   3528.14   12.298  2.74
   3530.88   12.151  2.74
   3533.62   12.078  2.74
   3536.36   12.026  2.74
   3539.10   12.018  2.74
   3541.84   11.994  2.74
   3544.58   11.989  2.74
   3547.32   12.006  2.74
   3550.06   11.992  2.74
   3552.80   12.022  2.74
   3555.54   12.009  2.74
   3558.28   11.967  2.74
   3561.02   11.968  2.74
   3563.76   12.020  2.74
   3566.50   12.147  2.74
   3569.24   12.191  2.74
   3571.98   12.185  2.74
   3574.72   12.121  2.74
   3577.46   12.082  2.74
   3580.20   12.117  2.74
   3582.94   12.177  2.74
   3585.68   12.305  2.74
   3588.42   12.295  2.74
   3591.16   12.130  2.74
   3593.90   11.995  2.74
   3596.64   11.941  2.74
   3599.38   11.856  2.74
   3602.12   11.906  2.74
   3604.86   11.981  2.74
   3607.60   11.988  2.74
   3610.34   12.025  2.74
   3613.08   12.032  2.74
   3615.82   11.985  2.74
   3618.56   12.010  2.74
   3621.30   11.964  2.74
   3624.04   11.885  2.74
   3626.78   11.779  2.74
   3629.52   11.800  2.74
   3632.26   11.936  2.74
   3635.00   11.960  2.74
   3637.74   11.883  2.74
   3640.48   11.783  2.74
   3643.22   11.820  2.74
   3645.96   11.879  2.74
   3648.70   11.900  2.74
   3651.44   11.851  2.74
   3654.18   11.761  2.74
   3656.92   11.714  2.74
   3659.66   11.672  2.74
   3662.40   11.674  2.74
   3665.14   11.703  2.74
   3667.88   11.699  2.74
   3670.62   11.758  2.74
   3673.36   11.666  2.74
   3676.10   11.639  2.74
   3678.84   11.669  2.74
   3681.58   11.686  2.74
   3684.32   11.674  2.74
   3687.06   11.709  2.74
   3689.80   11.684  2.74
   3692.54   11.584  2.74
   3695.28   11.566  2.74
   3698.02   11.531  2.74
   3700.76   11.484  2.74
   3703.50   11.563  2.74
   3706.24   11.673  2.74
   3708.98   11.719  2.74
   3711.72   11.612  2.74
   3714.46   11.480  2.74
   3717.20   11.474  2.74
   3719.94   11.651  2.74
   3722.68   11.749  2.74
   3725.42   11.633  2.74
   3728.16   11.605  2.74
   3730.90   11.611  2.74
   3733.64   11.730  2.74
   3736.38   11.834  2.74
   3739.12   11.711  2.74
   3741.86   11.590  2.74
   3744.60   11.617  2.74
   3747.34   11.750  2.74
   3750.08   11.816  2.74
   3752.82   11.619  2.74
   3755.56   11.461  2.74
   3758.30   11.537  2.74
   3761.04   11.587  2.74
   3763.78   11.509  2.74
   3766.52   11.445  2.74
   3769.26   11.449  2.74
   3772.00   11.405  2.74
   3774.74   11.357  2.74
   3777.48   11.351  2.74
   3780.22   11.307  2.74
   3782.96   11.278  2.74
   3785.70   11.324  2.74
   3788.44   11.433  2.74
   3791.18   11.463  2.74
   3793.92   11.455  2.74
   3796.66   11.488  2.74
   3799.40   11.497  2.74
   3802.14   11.386  2.74
   3804.88   11.272  2.74
   3807.62   11.292  2.74
   3810.36   11.288  2.74
   3813.10   11.344  2.74
   3815.84   11.431  2.74
   3818.58   11.462  2.74
   3821.32   11.516  2.74
   3824.06   11.552  2.74
   3826.80   11.575  2.74
   3829.54   11.540  2.74
   3832.28   11.553  2.74
   3835.02   11.584  2.74
   3837.76   11.549  2.74
   3840.50   11.525  2.74
   3843.24   11.401  2.74
   3845.98   11.321  2.74
   3848.72   11.328  2.74
   3851.46   11.355  2.74
   3854.20   11.340  2.74
   3856.94   11.360  2.74
   3859.68   11.443  2.74
   3862.42   11.368  2.74
   3865.16   11.275  2.74
   3867.90   11.278  2.74
   3870.64   11.370  2.74
   3873.38   11.425  2.74
   3876.12   11.400  2.74
   3878.86   11.395  2.74
   3881.60   11.414  2.74
   3884.34   11.374  2.74
   3887.08   11.367  2.74
   3889.82   11.354  2.74
   3892.56   11.262  2.74
   3895.30   11.230  2.74
   3898.04   11.243  2.74
   3900.78   11.215  2.74
   3903.52   11.204  2.74
   3906.26   11.242  2.74
   3909.00   11.222  2.74
   3911.74   11.153  2.74
   3914.48   11.160  2.74
   3917.22   11.223  2.74
   3919.96   11.306  2.74
   3922.70   11.359  2.74
   3925.44   11.452  2.74
   3928.18   11.739  2.74
   3930.92   12.227  2.74
   3933.66   12.642  2.74
   3936.40   12.434  2.74
   3939.14   11.936  2.74
   3941.88   11.619  2.74
   3944.62   11.412  2.74
   3947.36   11.266  2.74
   3950.10   11.177  2.74
   3952.84   11.137  2.74
   3955.58   11.129  2.74
   3958.32   11.131  2.74
   3961.06   11.230  2.74
   3963.80   11.517  2.74
   3966.54   11.988  2.74
   3969.28   12.300  2.74
   3972.02   11.964  2.74
   3974.76   11.421  2.74
   3977.50   11.104  2.74
   3980.24   10.954  2.74
   3982.98   10.917  2.74
   3985.72   10.890  2.74
   3988.46   10.830  2.74
   3991.20   10.796  2.74
   3993.94   10.810  2.74
   3996.68   10.848  2.74
   3999.42   10.830  2.74
   4002.16   10.759  2.74
   4004.90   10.763  2.74
   4007.64   10.778  2.74
   4010.38   10.721  2.74
   4013.12   10.705  2.74
   4015.86   10.689  2.74
   4018.60   10.671  2.74
   4021.34   10.687  2.74
   4024.08   10.700  2.74
   4026.82   10.653  2.74
   4029.56   10.657  2.74
   4032.30   10.726  2.74
   4035.04   10.685  2.74
   4037.78   10.598  2.74
