# File generated by CMD 2.3 (http://stev.oapd.inaf.it/cmd) on Thu Jul 21 02:44:25 CEST 2011
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# but applying the corrections from Case A in Girardi et al. (2010, ApJ 724, 1030) 
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# BCs of Carbon stars derive from Loidl et al. (2001)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01900		Age = 	5.000e+09 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF
	9.70	1.0000000000	0.9994	0.0145	3.7618	4.4164	4.734	5.615	5.465	4.795	4.411	4.084	3.663	3.323	3.290	0.4787	0.0000	0.0	1	-12.833	3.1408040524
	9.70	1.0067558289	1.0061	0.0340	3.7635	4.4067	4.685	5.545	5.405	4.743	4.363	4.038	3.622	3.286	3.253	0.4787	0.0000	0.0	1	-12.908	3.1426427364
	9.70	1.0230158567	1.0223	0.0812	3.7674	4.3822	4.567	5.381	5.263	4.617	4.245	3.927	3.521	3.195	3.163	0.4787	0.0000	0.0	1	-13.081	3.1469609737
	9.70	1.0376242399	1.0368	0.1233	3.7707	4.3592	4.462	5.238	5.137	4.506	4.141	3.827	3.431	3.112	3.081	0.4787	0.0000	0.0	1	-13.227	3.1507158279
	9.70	1.0506583452	1.0498	0.1604	3.7734	4.3382	4.369	5.115	5.027	4.408	4.048	3.739	3.350	3.037	3.007	0.4787	0.0000	0.0	1	-13.348	3.1539711952
	9.70	1.0612897873	1.0604	0.1899	3.7754	4.3211	4.295	5.018	4.940	4.330	3.975	3.669	3.285	2.977	2.948	0.4787	0.0000	0.0	1	-13.442	3.1565623283
	9.70	1.0625343323	1.0616	0.1932	3.7756	4.3192	4.287	5.008	4.931	4.322	3.967	3.661	3.278	2.971	2.941	0.4787	0.0000	0.0	1	-13.452	3.1568620205
	9.70	1.0703418255	1.0694	0.2131	3.7767	4.3069	4.237	4.949	4.875	4.270	3.918	3.614	3.234	2.929	2.899	0.4787	0.0000	0.0	1	-13.516	3.1587250233
	9.70	1.0783418417	1.0773	0.2332	3.7778	4.2942	4.187	4.890	4.819	4.219	3.869	3.566	3.188	2.886	2.857	0.4787	0.0000	0.0	1	-13.579	3.1606035233
	9.70	1.0908665657	1.0898	0.2642	3.7791	4.2735	4.110	4.801	4.734	4.139	3.792	3.492	3.117	2.818	2.789	0.4787	0.0000	0.0	1	-13.671	3.1634848118
